#Standort;Name;Lat(°N);Lon(°E);Alt(m);APOLLO;WXT;HöheT(m);HöheP(m);HöheWXT(m);Messbeginn(UTC);Messende(UTC);LocalClimateZone
041UHa;Uni Botanischer Garten, Klein Flottbek;53.55979;9.86068;29;27;;3;2;;20200604 1015;20200902 0915;5
043UHa;Uni Sternwarte, Bergedorf;53.47964;10.23859;31;25;;3;2;;20200603 1100;20200901 1230;6A
044OGw;Fährhaus Tatenberg;53.49537;10.08528;2;;1;;;3;20200529 1350;20200902 0845;9
045OGw;Windpark Curslack;53.47102;10.20700;2;;5;;;3;20200603 1230;20200902 1110;D
046OGa;BAW Rissen;53.58492;9.73867;11;45;;3;2;;20200608 0940;20200902 1035;6A
047OGw;Bogenwiese Holm;53.61872;9.68062;15;;10;;;3;20200608 0840;20200625 1300;6
047OGw;Bogenwiese Holm;53.61872;9.68062;15;;7;;;3;20200625 1340;20200902 1105;6
048OGw;Segelflugplatz Boberg;53.51360;10.15142;2;;6;;;3;20200603 0930;20200901 0945;9
049OGa;Horner Rennbahn;53.56176;10.08700;14;74;;3;2;;20200608 1730;20200901 0715;6
050OGw;Bogenschießplatz Stöckte;53.37930;10.18809;1;;18;;;3;20200610 1800;20200901 0900;6D
051OGa;Drachenwiese Winsen;53.37231;10.20341;4;63;;3;2;;20200612 0940;20200901 0645;B
052OGa;HAW Campus Bergedorf;53.49469;10.19780;19;5;;3;2;;20200610 0900;20200901 0900;5
053OGa;Hamburger Bogengilde, Fuhlsbüttel;53.64289;10.00270;21;75;;3;2;;20200615 1030;20200903 1100;6D
054OGa;Obsthof Lehmbeck, Hoopte;53.39460;10.16881;3;72;;3;2;;20200613 1000;20200901 0755;9
055OGw;Obsthof Schuback, Mittelnkirchen;53.53679;9.64878;1;;11;;;3;20200605 1115;20200904 1135;B
057OGa;Segelclub Rhe, Rotherbaum;53.55912;9.99605;4;8;;3;2;;20200609 0915;20200903 0805;5G
059OGa;Uni Segelclub, Uhlenhorst;53.57696;10.01017;5;36;;3;2;;20200602 1100;20200903 1055;5G
060OGa;Uni Rudersteg, Eppendorf;53.58521;9.99019;4;7;;3;2;;20200609 1115;20200903 1000;5G
061OGa;Bootssteg Bobby Reich, Winterhude;53.57979;10.00210;3;13;;3;2;;20200609 1030;20200903 1030;5G
062OGw;Segelverein Neuländer See;53.45972;10.01936;1;;15;;;3;20200610 1400;20200904 1330;9G
063OGa;Immanuel-Kant Gymnasium, Marmstorf;53.43041;9.96692;41;66;;3;2;;20200618 1110;20200901 1320;6
064OGw;Biohof Obermeyer, Emmelndorf;53.40151;9.96742;49;;16;;;3;20200610 1545;20200901 1230;9
065OGw;Greenpeace, Wilhelmsburg;53.50515;9.96698;8;;13;;;3;20200609 1230;20200904 0910;10G
066OGa;Tennisclub Eichtalpark, Wandsbek;53.58045;10.09769;13;4;;3;2;;20200609 1420;20200903 1345;6A
067OGw;DWD Flughafen, Fuhlsbüttel;53.63327;9.98796;9;;3;;;3;20200611 0745;20210409 0630;9
068OGa;Billwerder Billdeich, Oberbillwerder;53.49763;10.17424;2;15;;3;2;;20200610 0745;20200625 1015;9
068OGa;Billwerder Billdeich, Oberbillwerder;53.49763;10.17424;2;37;;3;2;;20200625 1030;20200901 0845;9
069OGa;Europaring, Winsen;53.35427;10.20215;6;99;;3;2;;20200605 0630;20200901 0620;6
070PGa;Ilmenaudeich, Tönnhausen;53.37063;10.26575;4;73;;3;2;;20200612 1100;20200901 0730;6
071PGa;Laßrönner Dorfstraße, Laßrönne;53.38721;10.23099;4;84;;3;2;;20200612 1015;20200901 0705;6
072PGa;Hoopter Straße, Stöckte;53.37869;10.19198;3;1;;3;2;;20200610 1830;20200901 0845;6
073PGa;Im Schönenfelde, Wilhelmsburg;53.49830;10.01601;2;43;;3;2;;20200529 1135;20200901 1500;6
074PGa;Am Eisenwerk, Jarrestadt;53.58654;10.03488;8;31;;3;2;;20200602 1200;20200903 1125;5
075PGa;Himmelshorst, Großhansdorf;53.65183;10.29073;49;107;;3;2;;20200608 0930;20200903 1500;6
076PGa;Gartenstraße, Trittau;53.62002;10.39891;42;78;;1.8;1;;20200608 0830;20210416 1200;6
077PGa;Hamburger Straße, Ahrensburg;53.66481;10.22399;47;101;;3;2;;20200608 1015;20200903 1545;6
078PGa;Waldweg, Immenbeck;53.44932;9.73072;22;24;;1.8;0.8;;20200605 1215;20210416 1200;6
079PGa;Sumpfveilchenweg, Langenhorn;53.67367;10.03292;32;55;;3;2;;20200528 1615;20200903 0815;6
080PGa;Lupinenkamp, Fuhlsbüttel;53.63517;10.02261;22;57;;3;2;;20200528 1330;20200903 1030;6
081PGw;Süderquerweg, Kirchwerder;53.42561;10.13946;3;;7;;;3;20200603 1400;20200612 1100;6
081PGw;Süderquerweg, Kirchwerder;53.42561;10.13946;3;;20;;;3;20200612 1115;20200902 0945;6
082PGa;Ochsenwerder Norderdeich, Ochsenwerder;53.46314;10.11983;2;52;;3;2;;20200529 1530;20200902 0915;9
083PGa;Norderquerweg, Kirchwerder;53.42645;10.19333;2;18;;3;2;;20200610 1115;20200625 1100;D
083PGw;Norderquerweg, Kirchwerder;53.42645;10.19333;2;;21;;;3;20200625 1200;20200902 1045;D
084PGa;Overdeich, Over;53.43314;10.09711;3;50;;3;2;;20200606 1515;20200901 0815;6
085PGa;Jahnstraße, Ashausen;53.36222;10.12728;21;64;;3;2;;20200612 1200;20200901 1155;6
086PGa;Kleingartenverein Wilstorf;53.44632;9.98363;28;96;;3;2;;20200605 1430;20200901 1405;6
087PGa;Brookwisch, Iserbrook;53.57825;9.82787;26;30;;3;2;;20200603 1230;20200902 0955;6
088PGa;Achter de Höf, Rissen;53.57922;9.75940;23;42;;3;2;;20200608 1040;20200902 1015;6
089PGa;Kleingartenverein Stellingen;53.59163;9.94172;18;46;;3;2;;20200602 1400;20200902 1355;6
090PGa;Kleingartenverein Lokstedt;53.58656;9.95912;14;29;;3;2;;20200602 1615;20200902 1420;6
091PGa;Fährstraße, Wilhelmsburg;53.51829;9.98068;4;106;;3;2;;20200618 0930;20200901 1545;5
092PGa;Holländische Reihe, Ottensen;53.54770;9.93032;31;69;;15;15;;20200618 1430;20200904 0815;2
093PGa;Kleingartenverein Niendorfer Gehege;53.61008;9.91888;12;91;;3;2;;20200602 1530;20200902 1245;6
094PGa;Harzburger Weg, Niendorf;53.63124;9.94628;21;54;;3;2;;20200603 0910;20200903 0745;6
095PGa;Rantzaustraße, Ahrensburg;53.66977;10.21542;47;47;;3;2;;20200608 1045;20200903 1545;6
096PGa;Godenwind, Mümmelmannsberg;53.52577;10.14109;30;56;;3;2;;20200608 0715;20200901 1000;6
097PGa;Parchimer Straße, Rahlstedt;53.60891;10.16041;30;10;;3;2;;20200611 1500;20200903 1400;6
098PGa;Musilweg, Wilstorf;53.44273;9.99474;27;95;;3;2;;20200618 1040;20200901 1340;6
099PGa;Schlossgarten, Wandsbek;53.57030;10.06929;13;3;;3;2;;20200609 1530;20200903 1310;6
100PGa;Hamfelderedder, Börnsen;53.47537;10.28655;55;109;;3;2;;20200608 1615;20200902 1200;6
101PGw;Reinbeker Weg, Brunsbek;53.59054;10.26513;58;;14;;;3;20200609 1445;20210408 1100;6
102PGa;Abelke-Bleken-Ring, Ochsenwerder;53.47363;10.08330;1;16;;3;2;;20200610 1300;20200902 0930;6
103PGa;Burbekstraße, Eidelstedt;53.61903;9.87959;22;61;;3;2;;20200603 1130;20200902 1205;6
104PGa;Luxweg, Billwerder;53.49826;10.12280;1;94;;3;2;;20200612 0830;20200902 0745;6
105PGa;Barsbütteler Landstraße, Barsbüttel;53.56667;10.19619;37;85;;3;2;;20200616 1400;20200903 1645;6
106PGa;Kleingartenverein Allermöhe;53.48406;10.14210;2;92;;3;2;;20200612 0945;20200901 1315;6
107PGa;Ansorgestraße, Othmarschen;53.55108;9.89326;23;80;;3;2;;20200603 1500;20200902 0855;6
108PGa;Auf dem Königslande, Wandsbek;53.58045;10.07517;15;14;;3;2;;20200609 1330;20200903 1330;5
109PGa;Eenstock, Bramfeld;53.60457;10.09405;18;12;;3;2;;20200615 1515;20200903 1415;6
110OGw;Öjendorfer See, Billstedt;53.55152;10.13930;13;;2;;;3;20200608 1500;20200901 1045;B
111OGa;Suntrace, Altona;53.54436;9.93413;5;110;;10;10;;20200618 1345;20200902 1330;5G
112PGa;Teubnerweg, Billstedt;53.53520;10.12454;17;88;;3;2;;20200616 1500;20200901 1215;6
113PGa;Steinbeker Straße, Hamm;53.54563;10.05597;6;86;;7;7;;20200623 1700;;5G
114UHw;Geomatikum, Dachterasse 18. Stock;53.56819;9.97483;16;;8;;;72;20200323 1200;20210421 0645;4
